id,title,original_title,status,release_date,company,revenue,budget,adult,belongs_to_collection,original_language,popularity,country,runtime,spoken_languages,tagline,video,vote_average,vote_count
862,Toy Story,Toy Story,Released,1995-10-30,Pixar Animation Studios,373554033.0,30000000,False,True,en,21.946943,US,81.0,1,,False,7.7,5415.0
8844,Jumanji,Jumanji,Released,1995-12-15,TriStar Pictures,262797249.0,65000000,False,False,en,17.015539,US,104.0,2,Roll the dice and unleash the excitement!,False,6.9,2413.0
31357,Waiting to Exhale,Waiting to Exhale,Released,1995-12-22,Interscope Communications,81452156.0,16000000,False,False,en,3.859495,US,127.0,1,Friends are the people who let you be yourself... and never let you forget it.,False,6.1,34.0
11862,Father of the Bride Part II,Father of the Bride Part II,Released,1995-02-10,Twentieth Century Fox Film Corporation,76578911.0,0,False,True,en,8.387519000000001,US,106.0,1,Just When His World Is Back To Normal... He's In For The Surprise Of His Life!,False,5.7,173.0
949,Heat,Heat,Released,1995-12-15,Sandollar Productions,187436818.0,60000000,False,False,en,17.924927,US,170.0,2,A Los Angeles Crime Saga,False,7.7,1886.0
9091,Sudden Death,Sudden Death,Released,1995-12-22,Forward Pass,64350171.0,35000000,False,False,en,5.23158,US,106.0,1,Terror goes into overtime.,False,5.5,174.0
710,GoldenEye,GoldenEye,Released,1995-11-16,Warner Bros.,352194034.0,58000000,False,True,en,14.686035999999998,US,130.0,3,No limits. No fears. No substitutes.,False,6.6,1194.0
9087,The American President,The American President,Released,1995-11-17,Universal Pictures,107879496.0,62000000,False,False,en,6.318445,US,106.0,1,Why can't the most powerful man in the world have the one thing he wants most?,False,6.5,199.0
21032,Balto,Balto,Released,1995-12-22,Signature Entertainment,11348324.0,0,False,True,en,12.140733,DE,78.0,1,Part Dog. Part Wolf. All Hero.,False,7.1,423.0
10858,Nixon,Nixon,Released,1995-12-22,United Artists,13681765.0,44000000,False,False,en,5.092,IT,192.0,1,"Triumphant in Victory, Bitter in Defeat. He Changed the World, But Lost a Nation.",False,7.1,72.0
1408,Cutthroat Island,Cutthroat Island,Released,1995-12-22,Eon Productions,10017322.0,98000000,False,False,en,7.284477000000001,US,119.0,2,The Course Has Been Set. There Is No Turning Back. Prepare Your Weapons. Summon Your Courage. Discover the Adventure of a Lifetime!,False,5.7,137.0
